Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
49,Yahya Attiat Allah,DF,ma Morocco,27,1995,3.5,169,16,77,66,27,5,169,0,2,0.0,2,2,85,8,Matches
50,André Ayew,"MF,FW",gh Ghana,32,1989,2.2,61,3,12,30,19,4,60,0,2,0.0,5,4,35,5,Matches
51,Jordan Ayew,FW,gh Ghana,30,1991,1.5,67,1,9,34,26,0,67,1,7,14.3,5,4,42,6,Matches
52,Sardar Azmoun,FW,ir IR Iran,27,1995,1.4,40,1,5,17,18,8,40,0,1,0.0,0,0,29,3,Matches
53,César Azpilicueta,DF,es Spain,32,1989,1.5,186,1,26,136,27,0,186,0,0,,1,1,150,0,Matches
54,Srđan Babić,DF,rs Serbia,26,1996,0.1,18,1,9,8,1,0,18,0,0,,0,0,11,0,Matches
55,Keanu Baccus,MF,au Australia,24,1998,1.3,57,0,18,30,9,0,57,0,1,0.0,2,2,31,5,Matches
56,Alexander Bah,DF,dk Denmark,24,1997,0.5,65,1,22,19,24,3,65,0,2,0.0,0,0,36,2,Matches
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,7,2,2,3,2,1,7,0,0,,0,0,6,1,Matches
58,Alejandro Balde,DF,es Spain,18,2003,1.4,135,0,17,86,33,3,135,0,2,0.0,2,3,109,4,Matches
59,Gareth Bale,FW,wls Wales,32,1989,2.5,68,2,13,30,26,2,67,1,3,33.3,4,4,51,10,Matches
60,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,10,0,1,7,2,1,10,0,1,0.0,0,0,6,0,Matches
61,Badr Banoun,DF,ma Morocco,28,1993,0.6,28,5,20,8,0,0,28,0,0,,0,1,19,0,Matches
62,Borna Barišić,DF,hr Croatia,29,1992,1.3,82,5,22,42,19,2,82,0,0,,1,0,44,1,Matches
63,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,69,61,69,0,0,0,69,0,0,,0,0,29,0,Matches
64,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,14,0,1,2,11,3,14,2,4,50.0,0,0,10,4,Matches
65,Michy Batshuayi,FW,be Belgium,28,1993,1.7,42,0,0,25,17,6,42,1,3,33.3,5,4,35,11,Matches
66,Jan Bednarek,DF,pl Poland,26,1996,0.1,6,0,1,5,0,0,6,0,0,,0,0,3,0,Matches
67,Aziz Behich,DF,au Australia,31,1990,4.0,251,16,90,112,53,5,251,8,14,57.1,5,5,141,5,Matches
68,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,33,29,32,1,0,0,33,0,0,,0,0,17,0,Matches
69,Jude Bellingham,MF,eng England,18,2003,4.6,324,2,44,202,83,15,324,6,13,46.2,8,6,234,30,Matches
70,Anis Ben Slimane,MF,tn Tunisia,21,2001,1.6,72,1,11,22,40,5,72,0,1,0.0,8,11,48,8,Matches
71,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,30,1,7,9,14,2,30,1,4,25.0,5,1,22,7,Matches
72,Rodrigo Bentancur,MF,uy Uruguay,24,1997,2.4,195,7,51,126,25,2,195,3,6,50.0,6,3,119,1,Matches
73,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,200,18,72,92,38,3,200,1,7,14.3,4,3,88,4,Matches
74,Steven Berghuis,MF,nl Netherlands,30,1991,2.2,145,0,10,85,51,2,145,1,4,25.0,1,1,111,11,Matches
75,Steven Bergwijn,FW,nl Netherlands,24,1997,2.4,86,0,5,45,37,5,86,1,4,25.0,4,2,74,23,Matches
76,Krystian Bielik,MF,pl Poland,24,1998,2.4,130,13,44,77,10,2,130,1,3,33.3,1,3,76,0,Matches
77,Daley Blind,DF,nl Netherlands,32,1990,4.7,341,6,65,190,87,10,341,1,2,50.0,2,1,231,10,Matches
78,Celso Borges,MF,cr Costa Rica,34,1988,2.8,144,15,56,84,6,0,144,2,2,100.0,2,0,83,1,Matches
79,Milan Borjan,GK,ca Canada,34,1987,3.0,105,82,103,1,1,0,105,0,0,,1,0,43,0,Matches
80,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,121,4,25,90,7,2,121,1,3,33.3,4,2,83,4,Matches
81,Sofiane Boufal,FW,ma Morocco,28,1993,5.3,200,3,29,95,78,11,200,14,27,51.9,14,5,144,14,Matches
82,Yassine Bounou,GK,ma Morocco,31,1991,6.3,218,184,216,2,0,0,218,0,0,,0,0,100,0,Matches
83,Martin Braithwaite,"FW,MF",dk Denmark,31,1991,1.1,24,0,1,10,13,3,24,1,2,50.0,2,1,20,4,Matches
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1992,0.7,56,3,15,22,20,2,56,0,0,,1,0,38,2,Matches
