Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
115,Luis Chávez,MF,mx Mexico,26,1996,3.0,139,118,20,8,2,5,19,0,12,6,5,0,99,1,1,Matches
116,Walid Cheddira,FW,ma Morocco,24,1998,0.7,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
117,Roozbeh Cheshmi,"DF,MF",ir IR Iran,28,1993,0.6,11,10,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
118,Andreas Christensen,DF,dk Denmark,26,1996,3.0,251,249,2,2,0,0,0,0,0,0,0,0,237,0,0,Matches
119,Hong Chul,DF,kr Korea Republic,31,1990,0.5,20,18,2,0,0,2,2,2,0,0,0,0,17,0,0,Matches
120,José Cifuentes,MF,ec Ecuador,23,1999,0.7,44,42,2,0,1,0,2,2,0,0,0,0,33,0,2,Matches
121,Pathé Ciss,MF,sn Senegal,28,1994,1.6,57,57,0,0,1,1,0,0,0,0,0,0,46,0,1,Matches
122,Sebastián Coates,DF,uy Uruguay,31,1990,2.0,93,90,3,3,0,1,0,0,0,0,0,0,76,0,0,Matches
123,Rubin Colwill,MF,wls Wales,20,2002,0.1,4,4,0,0,0,1,0,0,0,0,0,0,2,0,0,Matches
124,Kingsley Coman,"FW,MF",fr France,26,1996,1.9,72,64,8,2,0,0,13,1,5,2,3,0,56,0,1,Matches
125,Eray Cömert,DF,ch Switzerland,24,1998,0.5,42,41,1,1,0,0,0,0,0,0,0,0,38,0,0,Matches
126,Anthony Contreras,"FW,MF",cr Costa Rica,22,2000,1.4,26,23,3,0,0,0,1,1,0,0,0,0,15,0,2,Matches
127,Andreas Cornelius,FW,dk Denmark,29,1993,1.0,34,33,1,0,0,0,1,0,0,0,0,0,21,0,0,Matches
128,Ángel Correa,MF,ar Argentina,27,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
129,Diogo Costa,GK,pt Portugal,22,1999,5.0,160,117,41,6,0,0,0,0,0,0,0,0,113,2,1,Matches
130,Thibaut Courtois,GK,be Belgium,30,1992,3.0,123,84,39,3,0,0,0,0,0,0,0,0,108,0,0,Matches
131,Jason Cummings,FW,au Australia,26,1995,0.4,6,4,2,0,0,0,0,0,0,0,0,0,4,0,1,Matches
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0,Matches
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,147,127,19,1,0,2,9,18,0,0,0,0,112,1,2,Matches
134,Mikkel Damsgaard,"MF,FW",dk Denmark,21,2000,1.7,72,72,0,0,0,1,3,0,0,0,0,0,55,0,0,Matches
135,Danilo,DF,br Brazil,30,1991,3.1,269,245,23,2,0,2,8,21,0,0,0,0,230,1,2,Matches
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,111,107,4,4,0,0,0,0,0,0,0,0,99,0,0,Matches
137,Jonathan David,"FW,MF",ca Canada,22,2000,2.1,60,53,6,0,0,0,0,0,0,0,0,0,41,1,3,Matches
138,Alphonso Davies,"MF,DF",ca Canada,21,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5,Matches
139,Ben Davies,DF,wls Wales,29,1993,2.6,161,135,25,8,0,5,0,17,0,0,0,0,122,1,7,Matches
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,11,11,0,0,0,0,1,0,0,0,0,0,11,0,0,Matches
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,111,104,5,3,0,2,3,0,2,1,0,0,86,2,5,Matches
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,52,47,5,2,2,0,6,1,2,1,1,0,32,0,4,Matches
143,Kevin De Bruyne,"FW,MF",be Belgium,30,1991,3.0,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8,Matches
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,25,21,3,2,0,0,1,0,1,1,0,0,20,1,1,Matches
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,562,530,28,17,2,1,12,7,4,1,0,0,470,4,10,Matches
147,Miloš Degenek,DF,au Australia,28,1994,2.0,101,71,30,4,0,0,1,26,0,0,0,0,67,0,5,Matches
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,29,28,1,1,0,0,1,0,0,0,0,0,24,0,1,Matches
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,192,190,2,0,1,2,19,2,0,0,0,0,145,0,8,Matches
150,Leander Dendoncker,"DF,MF",be Belgium,27,1995,1.8,122,119,3,2,0,0,0,1,0,0,0,0,119,0,0,Matches
151,Sergiño Dest,DF,us United States,21,2000,3.4,200,176,24,2,0,1,9,22,0,0,0,0,172,0,5,Matches
152,Ángel Di María,"MF,FW",ar Argentina,34,1988,3.2,167,151,16,4,0,2,27,2,10,4,2,0,129,0,7,Matches
153,Boulaye Dia,FW,sn Senegal,25,1996,3.5,53,51,1,0,0,0,1,0,0,0,0,0,39,1,2,Matches
154,Abdou Diallo,DF,sn Senegal,26,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1,Matches
155,Rúben Dias,DF,pt Portugal,25,1997,4.0,274,255,19,16,0,2,0,1,0,0,0,0,248,0,1,Matches
156,Krépin Diatta,"FW,MF",sn Senegal,23,1999,2.0,73,71,1,0,0,1,4,0,1,0,1,0,60,1,0,Matches
157,Famara Diedhiou,FW,sn Senegal,29,1992,1.0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,2,Matches
158,Bamba Dieng,FW,sn Senegal,22,2000,1.1,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1,Matches
159,Eric Dier,DF,eng England,28,1994,0.4,41,40,1,1,0,0,0,0,0,0,0,0,40,0,0,Matches
160,Axel Disasi,DF,fr France,24,1998,1.0,78,61,17,1,0,0,2,16,0,0,0,0,61,0,1,Matches
161,Alexander Djiku,"DF,FW",gh Ghana,27,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0,Matches
162,Ritsu Doan,FW,jp Japan,23,1998,2.4,56,48,7,2,0,1,9,0,5,4,0,0,36,1,4,Matches
163,Jeremy Doku,"MF,FW",be Belgium,20,2002,0.2,14,14,0,0,0,0,3,0,0,0,0,0,8,0,2,Matches
164,Kasper Dolberg,FW,dk Denmark,24,1997,1.3,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0,Matches
165,Mohamed Dräger,DF,tn Tunisia,25,1996,1.5,50,33,17,0,0,0,3,17,0,0,0,0,36,0,4,Matches
166,Óscar Duarte,DF,cr Costa Rica,33,1989,3.0,98,89,8,4,0,1,0,3,0,0,0,0,68,1,2,Matches
167,Mitchell Duke,FW,au Australia,31,1991,3.0,63,60,3,0,0,0,1,0,0,0,0,0,36,0,2,Matches
168,Denzel Dumfries,DF,nl Netherlands,26,1996,5.3,217,167,50,0,0,0,8,50,0,0,0,0,149,0,8,Matches
169,Paulo Dybala,FW,ar Argentina,28,1993,0.2,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
170,Enzo Ebosse,DF,cm Cameroon,23,1999,1.0,38,33,5,4,0,0,0,1,0,0,0,0,34,0,1,Matches
171,Ederson,GK,br Brazil,28,1993,1.0,31,25,6,0,0,0,0,0,0,0,0,0,28,0,0,Matches
172,Jorge Eduardo Sánchez,DF,mx Mexico,24,1997,1.9,87,62,25,0,0,0,2,25,0,0,0,0,69,0,2,Matches
173,Nico Elvedi,DF,ch Switzerland,25,1996,2.0,142,139,3,3,0,0,0,0,0,0,0,0,131,0,3,Matches
174,Breel Embolo,FW,ch Switzerland,25,1997,3.6,62,53,8,0,0,0,0,0,0,0,0,0,46,1,2,Matches
175,Youssef En-Nesyri,FW,ma Morocco,25,1997,6.0,81,70,9,0,0,0,0,0,0,0,0,0,50,2,0,Matches
176,Wataru Endo,MF,jp Japan,29,1993,3.4,192,188,4,3,1,0,2,0,0,0,0,0,155,0,7,Matches
177,Devis Epassy,GK,cm Cameroon,29,1993,2.0,83,51,32,7,0,1,0,0,0,0,0,0,57,0,0,Matches
178,Christian Eriksen,MF,dk Denmark,30,1992,3.0,230,196,32,10,0,3,30,2,20,3,9,8,188,2,2,Matches
179,Michael Estrada,FW,ec Ecuador,26,1996,2.5,50,48,1,0,1,0,0,1,0,0,0,0,28,1,1,Matches
180,Pervis Estupiñán,DF,ec Ecuador,24,1998,3.0,190,145,44,12,0,0,19,29,3,0,3,0,148,1,4,Matches
181,Stephen Eustáquio,MF,ca Canada,25,1996,1.4,93,89,4,3,0,1,1,0,1,0,0,0,83,0,0,Matches
182,Saeid Ezatolahi,MF,ir IR Iran,25,1996,2.4,88,83,5,5,0,1,4,0,0,0,0,0,66,0,1,Matches
183,Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20,2001,1.0,13,12,1,0,0,0,1,1,0,0,0,0,10,0,0,Matches
184,Fabinho,MF,br Brazil,28,1993,1.0,57,54,3,3,0,0,0,0,0,0,0,0,51,0,1,Matches
185,Collins Fai,DF,cm Cameroon,29,1992,3.0,146,118,28,4,1,1,13,24,0,0,0,0,99,0,4,Matches
186,Salman Al-Faraj,MF,sa Saudi Arabia,32,1989,0.5,16,13,3,1,0,0,1,1,1,0,0,0,12,0,2,Matches
187,Christian Fassnacht,FW,ch Switzerland,28,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
188,Abdul Fatawu Issahaku,FW,gh Ghana,18,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
189,Ansu Fati,FW,es Spain,19,2002,0.5,29,28,1,0,0,0,1,0,1,0,0,0,25,0,1,Matches
190,João Félix,FW,pt Portugal,22,1999,3.7,122,119,2,0,1,0,4,2,0,0,0,0,91,1,3,Matches
191,Bruno Fernandes,"FW,MF",pt Portugal,27,1994,4.0,233,200,33,11,3,17,26,6,16,2,9,0,188,0,7,Matches
192,Edimilson Fernandes,"FW,DF",ch Switzerland,26,1996,1.6,82,68,14,1,0,0,5,13,0,0,0,0,65,0,2,Matches
193,Enzo Fernández,MF,ar Argentina,21,2001,6.3,471,459,12,11,3,2,2,1,0,0,0,0,412,0,6,Matches
194,Jesús Ferreira,FW,us United States,21,2000,0.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
195,Phil Foden,"FW,MF",eng England,22,2000,2.9,117,103,14,0,0,3,14,1,13,7,4,1,90,0,2,Matches
196,Youssouf Fofana,MF,fr France,23,1999,2.5,112,110,2,2,0,0,0,0,0,0,0,0,96,0,2,Matches
197,Juan Foyth,DF,ar Argentina,24,1998,0.1,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
198,Alan Franco,MF,ec Ecuador,23,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
199,Przemysław Frankowski,MF,pl Poland,27,1995,2.7,74,71,3,0,1,0,8,1,2,1,1,0,49,0,8,Matches
200,Fred,MF,br Brazil,29,1993,1.6,83,80,3,2,0,0,0,1,0,0,0,0,71,0,1,Matches
201,Fabian Frei,MF,ch Switzerland,33,1989,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
202,Remo Freuler,MF,ch Switzerland,30,1992,3.6,154,146,7,5,0,0,0,2,0,0,0,0,127,1,2,Matches
203,Keysher Fuller,"DF,MF",cr Costa Rica,27,1994,2.8,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2,Matches
204,Niclas Füllkrug,FW,de Germany,29,1993,0.8,24,21,3,0,0,1,0,0,0,0,0,0,15,0,2,Matches
205,Rogelio Funes Mori,FW,mx Mexico,31,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Cody Gakpo,"FW,MF",nl Netherlands,23,1999,5.0,148,120,27,7,1,0,33,4,16,6,8,0,93,1,5,Matches
207,Hernán Galíndez,GK,ec Ecuador,35,1987,3.0,74,46,28,7,0,0,0,0,0,0,0,0,44,0,0,Matches
208,Jesús Gallardo,DF,mx Mexico,27,1994,3.0,134,109,22,4,0,0,9,18,0,0,0,0,93,3,4,Matches
209,Idrissa Gana Gueye,MF,sn Senegal,32,1989,3.0,133,113,17,4,0,0,15,2,7,4,2,0,107,3,2,Matches
210,Gavi,MF,es Spain,17,2004,3.2,154,146,8,3,0,0,4,0,0,0,0,0,133,0,5,Matches
211,Sultan Al-Ghanam,"DF,MF",sa Saudi Arabia,28,1994,1.4,52,37,15,1,0,0,7,14,0,0,0,0,34,0,3,Matches
