Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
307,Ali Karimi,MF,ir IR Iran,28,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
308,Mark-Anthony Kaye,MF,ca Canada,27,1994,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
309,Wajdi Kechrida,DF,tn Tunisia,26,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
310,Thilo Kehrer,DF,de Germany,25,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
311,Bilal El Khannous,MF,ma Morocco,18,2004,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
312,Wahbi Khazri,"FW,MF",tn Tunisia,31,1991,0.9,1,5,3,60.0,5.42,3.25,0.20,0.33,19.1,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
313,Musab Kheder,DF,qa Qatar,28,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
314,Boualem Khoukhi,DF,qa Qatar,31,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
315,Joshua Kimmich,"MF,DF",de Germany,27,1995,3.0,0,7,4,57.1,2.33,1.33,0.00,0.00,25.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
316,Jakub Kiwior,DF,pl Poland,22,2000,3.9,0,1,0,0.0,0.25,0.00,0.00,,10.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
317,Simon Kjær,DF,dk Denmark,33,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
318,Davy Klaassen,"MF,FW",nl Netherlands,29,1993,2.1,1,2,1,50.0,0.95,0.47,0.50,1.00,9.9,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
319,Lukas Klostermann,DF,de Germany,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
320,Gregor Kobel,GK,ch Switzerland,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
321,Koke,MF,es Spain,30,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
322,Randal Kolo Muani,FW,fr France,23,1998,2.0,1,4,2,50.0,1.98,0.99,0.25,0.50,13.2,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches
323,Ibrahima Konaté,DF,fr France,23,1999,3.3,0,2,1,50.0,0.61,0.31,0.00,0.00,7.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
324,Ismaël Koné,"MF,DF",ca Canada,20,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
325,Teun Koopmeiners,MF,nl Netherlands,24,1998,2.4,0,2,1,50.0,0.82,0.41,0.00,0.00,27.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
326,Filip Kostić,DF,rs Serbia,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
327,Kalidou Koulibaly,DF,sn Senegal,30,1991,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,7.9,0,0,0,0.5,0.5,0.25,+0.5,+0.5,Matches
328,Jules Koundé,DF,fr France,23,1998,5.3,0,4,1,25.0,0.75,0.19,0.00,0.00,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
329,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
330,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,0,3,1,33.3,0.43,0.14,0.00,0.00,17.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
331,Andrej Kramarić,"FW,MF",hr Croatia,30,1991,5.3,2,10,4,40.0,1.90,0.76,0.20,0.50,15.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches
332,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,0,1,0,0.0,0.27,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
333,Takefusa Kubo,FW,jp Japan,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
