Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
432,Thomas Müller,"FW,MF",de Germany,32,1989,2.2,0,3,0,0.0,1.34,0.00,0.00,,11.3,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
433,Munir,GK,ma Morocco,33,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
434,Mohammed Muntari,"FW,MF",qa Qatar,28,1993,0.7,1,3,1,33.3,4.29,1.43,0.33,1.00,13.7,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
435,Yunus Musah,MF,us United States,19,2002,3.8,0,4,1,25.0,1.05,0.26,0.00,0.00,22.9,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
436,Jamal Musiala,"MF,FW",de Germany,19,2003,2.9,0,12,3,25.0,4.19,1.05,0.00,0.00,14.5,0,0,0,1.9,1.9,0.16,-1.9,-1.9,Matches
437,Joakim Mæhle,DF,dk Denmark,25,1997,2.8,0,2,0,0.0,0.72,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
438,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1995,0.3,0,1,1,100.0,3.33,3.33,0.00,0.00,26.6,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
439,Yuto Nagatomo,"MF,DF",jp Japan,35,1986,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
440,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
441,Keylor Navas,GK,cr Costa Rica,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
442,Iliman Ndiaye,"FW,MF",sn Senegal,22,2000,1.5,0,2,0,0.0,1.33,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
443,Victor Nelsson,DF,dk Denmark,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
444,Manuel Neuer,GK,de Germany,36,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
445,Rúben Neves,MF,pt Portugal,25,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
446,Neymar,MF,br Brazil,30,1992,3.1,2,11,6,54.5,3.55,1.94,0.09,0.17,19.2,3,1,1,2.7,1.9,0.18,-0.7,-0.9,Matches
447,Moumi Ngamaleu,"FW,MF",cm Cameroon,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
448,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
449,Rasmus Nissen,DF,dk Denmark,24,1997,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
450,Nicolas Nkoulou,DF,cm Cameroon,32,1990,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,12.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
451,Andries Noppert,GK,nl Netherlands,28,1994,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
452,Ahmad Nourollahi,MF,ir IR Iran,29,1993,2.5,0,5,1,20.0,2.02,0.40,0.00,0.00,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
453,Olivier Ntcham,MF,cm Cameroon,26,1996,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,30.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
454,Matheus Nunes,MF,pt Portugal,23,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
455,Darwin Núñez,FW,uy Uruguay,22,1999,2.7,0,3,1,33.3,1.13,0.37,0.00,0.00,22.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
456,Christian Nørgaard,MF,dk Denmark,28,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
457,Guillermo Ochoa,GK,mx Mexico,36,1985,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
458,Denis Odoi,DF,gh Ghana,34,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
459,Noah Okafor,"FW,MF",ch Switzerland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
460,Mathías Olivera,DF,uy Uruguay,24,1997,2.8,0,2,0,0.0,0.71,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
461,Dani Olmo,FW,es Spain,24,1998,4.1,1,12,6,50.0,2.94,1.47,0.08,0.17,21.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
462,Amadou Onana,MF,be Belgium,20,2001,1.2,0,2,0,0.0,1.73,0.00,0.00,,8.3,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
463,André Onana,GK,cm Cameroon,26,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
464,Gaël Ondoua,MF,cm Cameroon,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
465,Loïs Openda,FW,be Belgium,22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
466,Mislav Oršić,FW,hr Croatia,29,1992,1.8,1,9,2,22.2,5.00,1.11,0.11,0.50,22.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
467,Jonathan Osorio,"MF,FW",ca Canada,30,1992,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
468,Nicolás Otamendi,DF,ar Argentina,34,1988,7.7,0,1,0,0.0,0.13,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
469,Otávio,MF,pt Portugal,27,1995,2.2,0,3,2,66.7,1.38,0.92,0.00,0.00,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
470,Samuel Oum Gouet,MF,cm Cameroon,24,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
471,Azzedine Ounahi,MF,ma Morocco,22,2000,6.3,0,6,1,16.7,0.95,0.16,0.00,0.00,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
472,Bryan Oviedo,DF,cr Costa Rica,32,1990,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1995,1.0,1,2,2,100.0,2.00,2.00,0.50,0.50,3.9,0,0,0,0.5,0.5,0.27,+0.5,+0.5,Matches
475,Exequiel Palacios,"MF,DF",ar Argentina,23,1998,0.6,0,1,0,0.0,1.80,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
476,João Palhinha,MF,pt Portugal,26,1995,0.4,0,1,0,0.0,2.37,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
477,Lucas Paquetá,MF,br Brazil,24,1997,3.5,1,4,4,100.0,1.15,1.15,0.25,0.25,11.7,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches
478,Leandro Paredes,MF,ar Argentina,27,1994,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,30.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
479,Thomas Partey,MF,gh Ghana,29,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
480,Mario Pašalić,"FW,MF",hr Croatia,27,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,7.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
481,Benjamin Pavard,DF,fr France,26,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
482,Strahinja Pavlović,DF,rs Serbia,21,2001,2.6,1,2,1,50.0,0.77,0.38,0.50,1.00,10.0,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
483,Pedri,MF,es Spain,19,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
484,Pedro,FW,br Brazil,24,1997,0.7,0,4,1,25.0,5.63,1.41,0.00,0.00,12.9,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
485,Facundo Pellistri,"MF,FW",uy Uruguay,20,2001,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
486,Pepe,DF,pt Portugal,39,1983,4.0,1,3,1,33.3,0.75,0.25,0.33,1.00,7.3,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
487,Danilo Pereira,DF,pt Portugal,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
488,Ivan Perišić,"FW,DF",hr Croatia,33,1989,7.4,1,16,4,25.0,2.15,0.54,0.06,0.25,20.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
489,Bruno Petković,FW,hr Croatia,27,1994,2.6,1,1,1,100.0,0.38,0.38,1.00,1.00,16.2,0,0,0,0.1,0.1,0.12,+0.9,+0.9,Matches
490,Germán Pezzella,DF,ar Argentina,30,1991,0.7,0,1,0,0.0,1.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
491,Kalvin Phillips,MF,eng England,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
492,Krzysztof Piątek,FW,pl Poland,26,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
493,Jordan Pickford,GK,eng England,28,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
494,Orbelín Pineda,MF,mx Mexico,26,1996,0.8,0,4,1,25.0,4.74,1.18,0.00,0.00,15.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
495,Gonzalo Plata,"MF,FW",ec Ecuador,21,2000,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,15.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
496,Jackson Porozo,DF,ec Ecuador,21,2000,1.1,0,1,0,0.0,0.94,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
497,Morteza Pouraliganji,DF,ir IR Iran,30,1992,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
498,Ángelo Preciado,DF,ec Ecuador,24,1998,2.9,0,4,0,0.0,1.36,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
499,Christian Pulisic,"FW,MF",us United States,23,1998,3.5,1,9,5,55.6,2.57,1.43,0.11,0.20,17.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
500,Adrien Rabiot,MF,fr France,27,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.4,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
501,Nemanja Radonjić,"DF,FW",rs Serbia,26,1996,0.7,0,2,0,0.0,3.00,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
502,Baba Rahman,DF,gh Ghana,27,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
503,Gonçalo Ramos,"FW,MF",pt Portugal,20,2001,1.7,3,7,5,71.4,4.14,2.96,0.43,0.60,11.3,0,0,0,1.6,1.6,0.22,+1.4,+1.4,Matches
504,Aaron Ramsey,MF,wls Wales,31,1990,3.0,0,1,0,0.0,0.34,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
505,Raphinha,FW,br Brazil,25,1996,3.5,0,8,6,75.0,2.29,1.71,0.00,0.00,19.1,1,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches
506,Marcus Rashford,FW,eng England,24,1997,1.6,3,11,6,54.5,7.07,3.86,0.27,0.50,16.6,2,0,0,1.6,1.6,0.15,+1.4,+1.4,Matches
507,David Raum,DF,de Germany,24,1998,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
508,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
509,Tim Ream,DF,us United States,34,1987,4.0,0,1,0,0.0,0.25,0.00,0.00,,3.7,0,0,0,0.3,0.3,0.30,-0.3,-0.3,Matches
510,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
511,Gio Reyna,FW,us United States,19,2002,0.6,0,2,0,0.0,3.40,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
512,Ramin Rezaeian,DF,ir IR Iran,32,1990,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,18.3,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches
513,Everton Ribeiro,MF,br Brazil,33,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
514,Declan Rice,MF,eng England,23,1999,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
515,Richarlison,FW,br Brazil,25,1997,3.6,3,8,4,50.0,2.23,1.11,0.38,0.75,12.1,0,0,0,2.1,2.1,0.26,+0.9,+0.9,Matches
516,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
517,Ró-Ró,DF,qa Qatar,31,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
518,Connor Roberts,DF,wls Wales,26,1995,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
519,Antonee Robinson,DF,us United States,24,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
520,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
521,Joe Rodon,DF,wls Wales,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
522,Rodri,DF,es Spain,25,1996,4.3,0,1,0,0.0,0.23,0.00,0.00,,36.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
523,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
524,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
525,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,0,2,1,50.0,90.00,45.00,0.00,0.00,,,0,0,,,,,,Matches
526,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
527,Rodrygo,"MF,FW",br Brazil,21,2001,2.0,0,6,2,33.3,2.98,0.99,0.00,0.00,18.7,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
529,Cristian Romero,DF,ar Argentina,24,1998,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
530,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,1,10,2,20.0,3.10,0.62,0.00,0.00,21.0,2,1,1,1.6,0.8,0.08,-0.6,-0.8,Matches
531,Marten de Roon,MF,nl Netherlands,31,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
532,Kye Rowles,DF,au Australia,23,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
533,Antonio Rüdiger,DF,de Germany,29,1993,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,17.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
534,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
535,Mathew Ryan,GK,au Australia,30,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
536,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
537,Abdelhamid Sabiri,MF,ma Morocco,25,1996,2.0,0,3,0,0.0,1.49,0.00,0.00,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
538,Romain Saïss,DF,ma Morocco,32,1990,5.2,1,1,1,100.0,0.19,0.19,1.00,1.00,0.9,0,0,0,0.8,0.8,0.79,+0.2,+0.2,Matches
539,Bukayo Saka,FW,eng England,20,2001,3.2,3,7,5,71.4,2.19,1.56,0.43,0.60,14.9,0,0,0,0.6,0.6,0.09,+2.4,+2.4,Matches
540,Hiroki Sakai,"MF,DF",jp Japan,32,1990,1.3,0,1,0,0.0,0.76,0.00,0.00,,5.4,0,0,0,0.5,0.5,0.53,-0.5,-0.5,Matches
541,Youstin Salas,"DF,MF",cr Costa Rica,25,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
542,William Saliba,DF,fr France,21,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
543,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,9.3,0,0,0,0.8,0.8,0.38,+0.2,+0.2,Matches
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
545,Alex Sandro,DF,br Brazil,31,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
546,Leroy Sané,"FW,DF",de Germany,26,1996,1.2,0,3,0,0.0,2.43,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,0,1,0,0.0,30.00,0.00,0.00,,4.7,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
549,Josh Sargent,FW,us United States,22,2000,1.7,0,4,1,25.0,2.29,0.57,0.00,0.00,14.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
550,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,14.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
551,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,3.8,1,10,1,10.0,2.62,0.26,0.00,0.00,16.5,0,1,1,1.7,0.9,0.09,-0.7,-0.9,Matches
552,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,0.5,0,1,0,0.0,1.87,0.00,0.00,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,0,2,0,0.0,1.33,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,0,1,0,0.0,1.27,0.00,0.00,,12.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
558,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,1,1,1,100.0,3.46,3.46,1.00,1.00,30.4,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
562,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,2.5,1,4,2,50.0,1.57,0.79,0.25,0.50,21.9,1,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
564,Luke Shaw,DF,eng England,26,1995,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,23.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,1,2,2,100.0,0.81,0.81,0.50,0.50,21.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
567,André Silva,FW,pt Portugal,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
568,António Silva,DF,pt Portugal,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
570,Thiago Silva,DF,br Brazil,37,1984,4.3,0,2,0,0.0,0.46,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
571,Unai Simón,GK,es Spain,25,1997,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
572,Xavi Simons,"FW,MF",nl Netherlands,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,0,2,0,0.0,0.67,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
575,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,1.5,0,4,1,25.0,2.73,0.68,0.00,0.00,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
576,Robert Skov,DF,dk Denmark,26,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
577,Naïm Sliti,"MF,FW",tn Tunisia,29,1992,1.3,0,1,0,0.0,0.79,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
578,Carlos Soler,MF,es Spain,25,1997,1.0,1,4,1,25.0,3.91,0.98,0.25,1.00,17.3,1,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
579,Yuki Soma,"FW,MF",jp Japan,25,1997,0.9,0,3,0,0.0,3.33,0.00,0.00,,22.7,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
580,Yann Sommer,GK,ch Switzerland,33,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
581,Borna Sosa,DF,hr Croatia,24,1998,4.7,0,2,0,0.0,0.42,0.00,0.00,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
582,Harry Souttar,DF,au Australia,23,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
583,Djibril Sow,MF,ch Switzerland,25,1997,2.9,0,2,0,0.0,0.68,0.00,0.00,,15.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
584,Josip Stanišić,DF,hr Croatia,22,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
585,Renato Steffen,FW,ch Switzerland,30,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
586,Raheem Sterling,FW,eng England,27,1994,1.7,1,1,1,100.0,0.60,0.60,1.00,1.00,9.3,0,0,0,0.4,0.4,0.37,+0.6,+0.6,Matches
587,John Stones,DF,eng England,28,1994,4.8,0,4,1,25.0,0.83,0.21,0.00,0.00,9.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
588,Luis Suárez,FW,uy Uruguay,35,1987,1.6,0,2,1,50.0,1.23,0.62,0.00,0.00,7.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
589,Niklas Süle,DF,de Germany,26,1995,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
590,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
591,Josip Šutalo,DF,hr Croatia,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
592,Karol Świderski,FW,pl Poland,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
593,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
594,Damian Szymański,MF,pl Poland,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
