Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
103,Dani Carvajal,DF,es Spain,30,1992,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,William Carvalho,MF,pt Portugal,30,1992,2.4,1,0.42,1,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
105,Casemiro,MF,br Brazil,30,1992,4.3,9,2.25,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Matty Cash,DF,pl Poland,24,1997,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Timothy Castagne,DF,be Belgium,26,1995,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
109,Lucas Cavallini,FW,ca Canada,29,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Edinson Cavani,FW,uy Uruguay,35,1987,1.4,5,3.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Ilias Chair,MF,ma Morocco,24,1997,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Kwon Chang-hoon,"FW,MF",kr Korea Republic,27,1994,0.6,2,3.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Luis Chávez,MF,mx Mexico,26,1996,3.0,14,4.67,7,3,1,2,1,0,1,0.33,0,1,0,0,0,0,Matches
116,Walid Cheddira,FW,ma Morocco,24,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Roozbeh Cheshmi,"DF,MF",ir IR Iran,28,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Andreas Christensen,DF,dk Denmark,26,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Hong Chul,DF,kr Korea Republic,31,1990,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,José Cifuentes,MF,ec Ecuador,23,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
121,Pathé Ciss,MF,sn Senegal,28,1994,1.6,1,0.62,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Sebastián Coates,DF,uy Uruguay,31,1990,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Rubin Colwill,MF,wls Wales,20,2002,0.1,2,18.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Kingsley Coman,"FW,MF",fr France,26,1996,1.9,4,2.59,1,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Eray Cömert,DF,ch Switzerland,24,1998,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,Anthony Contreras,"FW,MF",cr Costa Rica,22,2000,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,Andreas Cornelius,FW,dk Denmark,29,1993,1.0,5,4.89,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Ángel Correa,MF,ar Argentina,27,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Diogo Costa,GK,pt Portugal,22,1999,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Thibaut Courtois,GK,be Belgium,30,1992,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Jason Cummings,FW,au Australia,26,1995,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,9,3.14,5,1,1,1,1,0,2,0.70,1,0,1,0,0,0,Matches
134,Mikkel Damsgaard,"MF,FW",dk Denmark,21,2000,1.7,3,1.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Danilo,DF,br Brazil,30,1991,3.1,8,2.87,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Jonathan David,"FW,MF",ca Canada,22,2000,2.1,1,0.47,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Alphonso Davies,"MF,DF",ca Canada,21,2000,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
139,Ben Davies,DF,wls Wales,29,1993,2.6,4,1.51,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,15,5.00,10,1,1,2,1,0,1,0.33,1,0,0,0,0,0,Matches
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,4,3.33,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Kevin De Bruyne,"FW,MF",be Belgium,30,1991,3.0,11,3.67,6,3,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,2,4.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,19,2.85,17,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
147,Miloš Degenek,DF,au Australia,28,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,17,3.53,16,0,0,0,1,0,3,0.62,3,0,0,0,0,0,Matches
150,Leander Dendoncker,"DF,MF",be Belgium,27,1995,1.8,3,1.68,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Sergiño Dest,DF,us United States,21,2000,3.4,7,2.07,4,1,2,0,0,0,1,0.30,1,0,0,0,0,0,Matches
152,Ángel Di María,"MF,FW",ar Argentina,34,1988,3.2,21,6.77,16,3,1,0,1,0,4,1.29,2,0,1,0,1,0,Matches
153,Boulaye Dia,FW,sn Senegal,25,1996,3.5,5,1.42,4,0,0,1,0,0,1,0.28,1,0,0,0,0,0,Matches
154,Abdou Diallo,DF,sn Senegal,26,1996,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
155,Rúben Dias,DF,pt Portugal,25,1997,4.0,2,0.50,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
156,Krépin Diatta,"FW,MF",sn Senegal,23,1999,2.0,4,1.99,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Famara Diedhiou,FW,sn Senegal,29,1992,1.0,3,2.93,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Bamba Dieng,FW,sn Senegal,22,2000,1.1,4,3.60,1,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches
159,Eric Dier,DF,eng England,28,1994,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
160,Axel Disasi,DF,fr France,24,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,Alexander Djiku,"DF,FW",gh Ghana,27,1994,1.1,1,0.93,1,0,0,0,0,0,1,0.93,1,0,0,0,0,0,Matches
162,Ritsu Doan,FW,jp Japan,23,1998,2.4,5,2.07,4,1,0,0,0,0,2,0.83,2,0,0,0,0,0,Matches
163,Jeremy Doku,"MF,FW",be Belgium,20,2002,0.2,3,14.21,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Kasper Dolberg,FW,dk Denmark,24,1997,1.3,2,1.58,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Mohamed Dräger,DF,tn Tunisia,25,1996,1.5,6,4.09,3,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Óscar Duarte,DF,cr Costa Rica,33,1989,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Mitchell Duke,FW,au Australia,31,1991,3.0,5,1.67,4,0,0,0,1,0,2,0.67,2,0,0,0,0,0,Matches
168,Denzel Dumfries,DF,nl Netherlands,26,1996,5.3,5,1.00,5,0,0,0,0,0,2,0.40,2,0,0,0,0,0,Matches
169,Paulo Dybala,FW,ar Argentina,28,1993,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
170,Enzo Ebosse,DF,cm Cameroon,23,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
171,Ederson,GK,br Brazil,28,1993,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
172,Jorge Eduardo Sánchez,DF,mx Mexico,24,1997,1.9,5,2.57,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
173,Nico Elvedi,DF,ch Switzerland,25,1996,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
174,Breel Embolo,FW,ch Switzerland,25,1997,3.6,6,1.67,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
175,Youssef En-Nesyri,FW,ma Morocco,25,1997,6.0,3,0.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
176,Wataru Endo,MF,jp Japan,29,1993,3.4,10,3.28,5,0,0,3,2,0,1,0.33,0,0,0,0,1,0,Matches
177,Devis Epassy,GK,cm Cameroon,29,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Christian Eriksen,MF,dk Denmark,30,1992,3.0,10,3.33,3,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
179,Michael Estrada,FW,ec Ecuador,26,1996,2.5,4,1.60,3,0,0,0,1,0,1,0.40,1,0,0,0,0,0,Matches
180,Pervis Estupiñán,DF,ec Ecuador,24,1998,3.0,12,4.00,8,3,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
181,Stephen Eustáquio,MF,ca Canada,25,1996,1.4,6,4.32,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
182,Saeid Ezatolahi,MF,ir IR Iran,25,1996,2.4,4,1.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20,2001,1.0,4,5.63,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
184,Fabinho,MF,br Brazil,28,1993,1.0,4,4.00,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Collins Fai,DF,cm Cameroon,29,1992,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
186,Salman Al-Faraj,MF,sa Saudi Arabia,32,1989,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
187,Christian Fassnacht,FW,ch Switzerland,28,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
188,Abdul Fatawu Issahaku,FW,gh Ghana,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
189,Ansu Fati,FW,es Spain,19,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,João Félix,FW,pt Portugal,22,1999,3.7,7,1.91,6,0,0,1,0,0,2,0.55,2,0,0,0,0,0,Matches
191,Bruno Fernandes,"FW,MF",pt Portugal,27,1994,4.0,15,3.79,9,6,0,0,0,0,4,1.01,3,1,0,0,0,0,Matches
