Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
131,Jason Cummings,FW,au Australia,26,1995,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,0,0,0,1,1,0,9,2,6,0,0,0,13,6,3,66.7,Matches
134,Mikkel Damsgaard,"MF,FW",dk Denmark,21,2000,1.7,0,0,0,2,1,1,3,2,2,0,0,0,10,0,1,0.0,Matches
135,Danilo,DF,br Brazil,30,1991,3.1,1,0,0,3,1,0,8,3,2,0,0,0,17,4,1,80.0,Matches
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,1,0,0,2,1,0,0,5,0,0,0,0,10,5,5,50.0,Matches
137,Jonathan David,"FW,MF",ca Canada,22,2000,2.1,0,0,0,0,1,0,0,0,1,0,0,0,5,1,2,33.3,Matches
138,Alphonso Davies,"MF,DF",ca Canada,21,2000,3.0,1,0,0,4,4,1,10,3,1,0,0,0,14,3,2,60.0,Matches
139,Ben Davies,DF,wls Wales,29,1993,2.6,0,0,0,1,3,0,0,1,2,0,0,0,20,7,4,63.6,Matches
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,Matches
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,1,0,0,3,3,0,3,1,4,0,0,0,16,1,1,50.0,Matches
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,0,0,0,0,0,0,6,2,1,0,0,0,7,0,4,0.0,Matches
143,Kevin De Bruyne,"FW,MF",be Belgium,30,1991,3.0,0,0,0,0,2,0,18,0,1,0,0,0,11,4,0,100.0,Matches
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0.0,Matches
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0.0,Matches
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,0,0,0,7,15,0,12,7,6,0,0,0,42,2,3,40.0,Matches
147,Miloš Degenek,DF,au Australia,28,1994,2.0,2,0,0,2,8,0,1,1,4,0,0,0,15,6,1,85.7,Matches
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,66.7,Matches
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,1,0,0,6,3,2,19,2,6,0,1,0,26,2,1,66.7,Matches
150,Leander Dendoncker,"DF,MF",be Belgium,27,1995,1.8,1,0,0,3,0,0,0,0,3,0,0,0,6,2,1,66.7,Matches
151,Sergiño Dest,DF,us United States,21,2000,3.4,1,0,0,4,2,0,9,2,2,0,0,0,13,1,3,25.0,Matches
152,Ángel Di María,"MF,FW",ar Argentina,34,1988,3.2,0,0,0,0,7,5,27,1,1,1,0,0,7,0,1,0.0,Matches
