Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
498,Ángelo Preciado,DF,ec Ecuador,24,1998,2.9,94,129,72.9,1463,532,57,62,91.9,27,40,67.5,8,20,40.0,1,0.4,0.2,+0.6,4,4,6,5,6,Matches
499,Christian Pulisic,"FW,MF",us United States,23,1998,3.5,83,141,58.9,1442,404,39,49,79.6,32,47,68.1,9,32,28.1,2,0.9,1.1,+1.1,9,9,4,1,15,Matches
500,Adrien Rabiot,MF,fr France,27,1995,5.4,237,284,83.5,3780,847,128,144,88.9,84,95,88.4,18,26,69.2,1,0.9,0.5,+0.1,3,36,0,0,13,Matches
501,Nemanja Radonjić,"DF,FW",rs Serbia,26,1996,0.7,15,24,62.5,236,74,8,10,80.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1,Matches
502,Baba Rahman,DF,gh Ghana,27,1994,2.0,66,100,66.0,1097,546,38,48,79.2,20,27,74.1,8,18,44.4,0,0.3,0.1,-0.3,3,7,2,1,12,Matches
503,Gonçalo Ramos,"FW,MF",pt Portugal,20,2001,1.7,25,31,80.6,315,57,17,20,85.0,8,9,88.9,0,0,,1,0.4,0.1,+0.6,2,1,2,0,2,Matches
504,Aaron Ramsey,MF,wls Wales,31,1990,3.0,88,112,78.6,1796,339,37,41,90.2,27,35,77.1,18,23,78.3,0,0.0,0.1,0.0,1,7,1,0,5,Matches
505,Raphinha,FW,br Brazil,25,1996,3.5,111,150,74.0,1916,435,53,59,89.8,43,59,72.9,12,22,54.5,1,1.3,0.9,-0.3,8,5,5,1,11,Matches
506,Marcus Rashford,FW,eng England,24,1997,1.6,49,66,74.2,677,91,32,39,82.1,15,20,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,1,Matches
507,David Raum,DF,de Germany,24,1998,2.7,153,195,78.5,2344,741,85,89,95.5,41,55,74.5,15,32,46.9,1,0.6,0.3,+0.4,7,9,6,3,13,Matches
508,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,47,57,82.5,1084,320,11,11,100.0,28,32,87.5,8,13,61.5,0,0.0,0.2,0.0,1,6,0,0,6,Matches
509,Tim Ream,DF,us United States,34,1987,4.0,245,276,88.8,5012,1646,66,70,94.3,153,163,93.9,25,37,67.6,0,0.0,0.0,0.0,0,18,0,0,17,Matches
