Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
517,Jamal Musiala,"MF,FW",de Germany,19,2003,3,258,86,95.6,2.9,3,86,2,0,,0,1.33,6,4,+2,+0.70,+8.20,9.5,3.3,+6.2,+2.17,-1.02,Matches
518,Fernando Muslera,GK,uy Uruguay,35,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
519,Joakim Mæhle,DF,dk Denmark,25,1997,3,249,83,92.2,2.8,3,83,2,0,,0,0.33,1,3,-2,-0.72,-0.72,2.5,3.8,-1.3,-0.49,-1.19,Matches
520,Moussa N'Diaye,DF,sn Senegal,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
521,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1995,2,27,14,10.0,0.3,0,,0,2,14,1,0.50,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.06,-0.31,Matches
522,Yuto Nagatomo,"MF,DF",jp Japan,35,1986,4,209,52,53.6,2.3,4,52,0,0,,0,1.75,1,3,-2,-0.86,-2.35,1.3,3.4,-2.1,-0.89,-1.59,Matches
523,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-1.60,0.9,0.3,+0.6,+1.24,+2.69,Matches
524,Moustapha Name,MF,sn Senegal,27,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
525,Keylor Navas,GK,cr Costa Rica,35,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,11,-8,-2.67,,1.4,10.1,-8.7,-2.90,,Matches
526,Iliman Ndiaye,"FW,MF",sn Senegal,22,2000,3,135,45,37.5,1.5,2,60,0,1,16,1,2.00,3,4,-1,-0.67,-0.27,2.7,1.6,+1.1,+0.75,+0.79,Matches
527,Victor Nelsson,DF,dk Denmark,23,1998,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,2,-1,-1.00,-0.50,0.6,2.4,-1.8,-1.76,-2.04,Matches
528,Manuel Neuer,GK,de Germany,36,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,,Matches
529,Rúben Neves,MF,pt Portugal,25,1997,5,268,54,59.6,3.0,4,65,0,1,10,0,1.80,4,3,+1,+0.34,-2.14,3.3,2.9,+0.4,+0.13,-0.30,Matches
530,Neymar,MF,br Brazil,30,1992,3,279,93,58.1,3.1,3,93,1,0,,0,2.33,7,2,+5,+1.61,+1.61,8.0,1.2,+6.8,+2.47,+1.26,Matches
531,Moumi Ngamaleu,"FW,MF",cm Cameroon,27,1994,2,95,48,35.2,1.1,1,85,0,1,10,1,1.50,0,0,0,0.00,0.00,0.3,1.7,-1.4,-1.29,-0.78,Matches
532,Simon Ngapandouetnbu,GK,cm Cameroon,19,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
533,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,1,0,+1,+18.00,+18.34,0.1,1.0,-0.9,-15.50,-14.99,Matches
534,Payam Niazmand,GK,ir IR Iran,27,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
535,Rasmus Nissen,DF,dk Denmark,24,1997,3,224,75,83.0,2.5,3,75,1,0,,0,0.33,1,2,-1,-0.40,+1.55,2.3,3.4,-1.1,-0.44,-0.28,Matches
536,Nicolas Nkoulou,DF,cm Cameroon,32,1990,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80,Matches
537,Andries Noppert,GK,nl Netherlands,28,1994,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29,Matches
538,Ahmad Nourollahi,MF,ir IR Iran,29,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,1,6,-5,-2.02,-5.85,1.6,3.1,-1.5,-0.60,-1.61,Matches
539,Jean-Pierre Nsame,FW,cm Cameroon,29,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
