Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
606,Moisés Ramírez,GK,ec Ecuador,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
607,Gonçalo Ramos,"FW,MF",pt Portugal,20,2001,4,152,38,33.8,1.7,2,70,0,2,6,1,2.25,6,3,+3,+1.78,+0.87,3.7,2.4,+1.3,+0.76,+0.76,Matches
608,Aaron Ramsdale,GK,eng England,24,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
609,Aaron Ramsey,MF,wls Wales,31,1990,3,266,89,98.5,3.0,3,89,2,0,,0,0.33,1,4,-3,-1.02,+43.98,2.6,4.1,-1.5,-0.49,+9.06,Matches
610,Raphinha,FW,br Brazil,25,1996,5,315,63,65.6,3.5,4,76,1,1,12,0,2.00,6,2,+4,+1.14,+0.60,8.1,1.4,+6.7,+1.91,+0.16,Matches
611,Marcus Rashford,FW,eng England,24,1997,5,140,28,31.1,1.6,1,74,0,4,17,0,2.00,5,1,+4,+2.57,+1.12,3.1,1.5,+1.6,+1.02,+0.14,Matches
612,David Raum,DF,de Germany,24,1998,3,242,81,89.6,2.7,3,81,1,0,,0,1.33,3,4,-1,-0.37,-6.80,6.6,2.9,+3.7,+1.39,-8.01,Matches
613,Bassam Al-Rawi,DF,qa Qatar,24,1997,1,90,90,33.3,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23,Matches
614,David Raya,"FW,GK",es Spain,26,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
615,Tim Ream,DF,us United States,34,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,,Matches
616,Djorkaeff Reasco,FW,ec Ecuador,23,1999,1,27,27,10.0,0.3,0,,0,1,27,2,0.00,1,1,0,0.00,-0.37,0.7,0.6,+0.1,+0.49,+0.11,Matches
617,Ahmed Reda Tagnaouti,GK,ma Morocco,26,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
618,Andrew Redmayne,GK,au Australia,33,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
619,Gio Reyna,FW,us United States,19,2002,2,53,27,14.7,0.6,0,,0,2,27,2,0.50,1,1,0,0.00,+0.29,1.0,1.5,-0.5,-0.90,-0.96,Matches
620,Ramin Rezaeian,DF,ir IR Iran,32,1990,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,2,1,+1,+0.50,+4.50,1.9,2.0,-0.2,-0.10,+0.66,Matches
621,Everton Ribeiro,MF,br Brazil,33,1989,1,36,36,7.5,0.4,0,,0,1,36,4,0.00,0,1,-1,-2.50,-3.72,1.3,0.2,+1.1,+2.77,+0.98,Matches
622,Declan Rice,MF,eng England,23,1999,5,417,83,92.7,4.6,5,83,4,0,,0,2.00,12,4,+8,+1.73,-1.00,7.5,3.8,+3.6,+0.79,-1.88,Matches
623,Richarlison,FW,br Brazil,25,1997,4,323,81,67.3,3.6,4,81,1,0,,1,2.50,6,1,+5,+1.39,+1.39,7.6,1.3,+6.4,+1.77,-0.27,Matches
624,Fabian Rieder,FW,ch Switzerland,20,2002,2,68,34,18.9,0.8,1,58,0,1,10,2,1.50,0,0,0,0.00,+1.23,0.4,0.5,-0.1,-0.16,-0.29,Matches
625,Ró-Ró,DF,qa Qatar,31,1990,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22,Matches
626,Connor Roberts,DF,wls Wales,26,1995,3,200,67,74.1,2.2,2,73,1,1,54,0,0.33,1,4,-3,-1.35,+1.22,2.5,3.4,-0.9,-0.41,+0.86,Matches
627,Antonee Robinson,DF,us United States,24,1997,4,359,90,99.7,4.0,4,90,3,0,,0,1.25,3,4,-1,-0.25,-0.25,4.0,4.4,-0.4,-0.09,-6.84,Matches
628,Sergio Rochet,GK,uy Uruguay,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,,Matches
629,Joe Rodon,DF,wls Wales,24,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,,Matches
630,Rodri,DF,es Spain,25,1996,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68,Matches
631,Charly Rodríguez,MF,mx Mexico,25,1997,2,34,17,12.6,0.4,0,,0,2,17,1,2.00,0,1,-1,-2.65,-2.65,0.5,0.8,-0.3,-0.79,-1.25,Matches
632,Guido Rodríguez,MF,ar Argentina,28,1994,1,56,56,8.1,0.6,1,56,0,0,,6,3.00,0,0,0,0.00,-0.99,0.2,0.3,-0.1,-0.16,-1.65,Matches
633,Kevin Rodríguez,FW,ec Ecuador,22,2000,2,2,1,0.7,0.0,0,,0,2,1,1,2.00,0,0,0,0.00,-0.34,,,,,,Matches
634,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4,359,90,99.7,4.0,4,90,3,0,,0,1.50,5,9,-4,-1.00,-1.00,5.5,5.3,+0.1,+0.03,-17.07,Matches
635,Rodrygo,"MF,FW",br Brazil,21,2001,5,181,36,37.7,2.0,1,54,0,4,32,0,2.00,2,1,+1,+0.50,-0.71,4.2,0.9,+3.3,+1.98,+0.18,Matches
636,Cristian Roldan,"FW,MF",us United States,27,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
637,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,1,73,73,27.0,0.8,1,73,0,0,,2,3.00,1,0,+1,+1.23,+1.69,0.5,0.2,+0.3,+0.37,+0.74,Matches
638,Cristian Romero,DF,ar Argentina,24,1998,7,547,78,79.3,6.1,6,88,4,1,22,0,2.00,14,6,+8,+1.32,+1.95,13.3,3.9,+9.3,+1.63,+1.07,Matches
639,Luis Romo,"DF,MF",mx Mexico,27,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
640,Cristiano Ronaldo,FW,pt Portugal,37,1985,5,290,58,64.4,3.2,3,77,0,2,29,0,1.80,6,2,+4,+1.24,+0.12,4.2,3.2,+1.0,+0.30,+0.14,Matches
641,Marten de Roon,MF,nl Netherlands,31,1991,5,184,37,38.3,2.0,3,57,0,2,7,0,2.20,5,1,+4,+1.96,+1.35,2.3,1.3,+1.0,+0.50,+1.26,Matches
642,Kye Rowles,DF,au Australia,23,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,,Matches
643,Antonio Rüdiger,DF,de Germany,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,,Matches
644,Bryan Ruiz,MF,cr Costa Rica,36,1985,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37,Matches
645,Gerónimo Rulli,GK,ar Argentina,30,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
646,Mathew Ryan,GK,au Australia,30,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,,Matches
647,Frederik Rønnow,GK,dk Denmark,29,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
648,José Sá,GK,pt Portugal,29,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
649,Youssouf Sabaly,DF,sn Senegal,29,1993,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.6,3.5,+1.0,+0.26,,Matches
650,Abdelhamid Sabiri,MF,ma Morocco,25,1996,5,181,36,27.4,2.0,2,55,0,3,24,2,1.60,5,3,+2,+0.99,+1.18,3.1,1.6,+1.5,+0.90,+1.30,Matches
651,Romain Saïss,DF,ma Morocco,32,1990,6,466,78,70.6,5.2,6,78,4,0,,1,1.83,5,2,+3,+0.58,+1.51,4.0,4.3,-0.4,-0.07,+0.11,Matches
652,Bukayo Saka,FW,eng England,20,2001,4,288,72,64.0,3.2,4,72,0,0,,1,1.75,8,3,+5,+1.56,-0.66,3.9,2.4,+1.5,+0.46,-1.31,Matches
653,Hiroki Sakai,"MF,DF",jp Japan,32,1990,2,119,60,30.5,1.3,1,73,0,1,46,2,2.00,0,1,-1,-0.76,-1.42,1.2,3.0,-1.8,-1.87,-2.22,Matches
654,Youstin Salas,"DF,MF",cr Costa Rica,25,1996,2,47,24,17.4,0.5,0,,0,2,24,1,1.50,2,3,-1,-1.91,+0.91,1.1,4.4,-3.3,-6.30,-4.12,Matches
655,William Saliba,DF,fr France,21,2001,1,28,28,4.2,0.3,0,,0,1,28,6,0.00,0,0,0,0.00,-1.14,0.6,0.0,+0.6,+1.93,+1.47,Matches
656,Mohammed Salisu,DF,gh Ghana,23,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,,Matches
657,Tarek Salman,DF,qa Qatar,24,1997,1,8,8,3.0,0.1,0,,0,1,8,2,0.00,0,1,-1,-11.25,-9.53,0.2,0.2,0.0,-0.50,+0.22,Matches
658,Robert Sánchez,GK,es Spain,24,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
659,Alex Sandro,DF,br Brazil,31,1991,3,190,63,39.6,2.1,2,88,1,1,15,0,2.33,3,1,+2,+0.95,+0.02,3.4,0.6,+2.7,+1.41,-0.70,Matches
660,Leroy Sané,"FW,DF",de Germany,26,1996,2,111,56,41.1,1.2,1,90,1,1,21,1,2.00,5,2,+3,+2.43,+3.56,6.7,1.3,+5.4,+4.38,+3.67,Matches
661,Na Sang-ho,FW,kr Korea Republic,25,1996,2,119,60,33.1,1.3,1,74,0,1,45,2,0.50,2,1,+1,+0.76,+2.25,1.9,0.9,+1.1,+0.80,+2.13,Matches
662,Pablo Sarabia,FW,es Spain,30,1992,1,3,3,0.8,0.0,0,,0,1,3,3,1.00,0,0,0,0.00,-1.40,0.3,0.0,+0.3,,,Matches
663,Josh Sargent,FW,us United States,22,2000,3,157,52,43.6,1.7,2,75,0,1,8,1,1.67,2,0,+2,+1.15,+2.48,1.7,1.1,+0.6,+0.36,+0.77,Matches
664,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,3,85,28,31.5,0.9,0,,0,3,28,0,1.33,1,1,0,0.00,-0.49,0.9,0.6,+0.3,+0.32,-0.10,Matches
665,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,4,344,86,95.6,3.8,4,86,3,0,,0,1.50,4,6,-2,-0.52,-0.52,4.3,3.3,+1.0,+0.27,+0.30,Matches
666,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,2,48,24,17.8,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.6,0.3,+0.3,+0.51,+0.82,Matches
667,Joe Scally,DF,us United States,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
668,Fabian Schär,DF,ch Switzerland,30,1991,2,135,68,37.5,1.5,2,68,1,0,,2,1.50,3,4,-1,-0.67,+0.53,3.1,2.3,+0.8,+0.51,+0.68,Matches
669,Nico Schlotterbeck,DF,de Germany,22,1999,2,94,47,34.8,1.0,1,90,1,1,4,1,0.50,1,2,-1,-0.96,-1.98,3.1,1.5,+1.6,+1.54,-1.04,Matches
670,Kasper Schmeichel,GK,dk Denmark,35,1986,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,,Matches
671,Daniel Schmidt,GK,jp Japan,30,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
672,Haris Seferović,FW,ch Switzerland,30,1992,3,71,24,19.7,0.8,0,,0,3,24,1,1.00,1,4,-3,-3.80,-3.49,1.1,1.0,+0.1,+0.06,-0.02,Matches
673,Alidu Seidu,DF,gh Ghana,22,2000,2,155,78,57.4,1.7,2,78,1,0,,1,0.00,0,3,-3,-1.74,-2.52,1.6,3.3,-1.6,-0.95,-1.12,Matches
674,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,2,20,10,7.4,0.2,0,,0,2,10,1,0.00,0,0,0,0.00,+0.72,0.6,0.2,+0.4,+1.75,+2.41,Matches
675,Patrick Sequeira,GK,cr Costa Rica,23,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
676,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.6,7.1,-2.5,-0.63,,Matches
677,Paik Seung-ho,MF,kr Korea Republic,25,1997,1,26,26,7.2,0.3,0,,0,1,26,3,0.00,1,0,+1,+3.46,+4.54,0.2,0.3,-0.1,-0.30,+0.36,Matches
678,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1,89,89,33.0,1.0,1,89,0,0,,0,3.00,2,1,+1,+1.01,+2.50,0.1,2.1,-2.0,-2.00,-1.48,Matches
679,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,3,229,76,63.6,2.5,3,76,1,0,,1,2.00,5,8,-3,-1.18,-0.49,4.8,4.2,+0.7,+0.27,+0.52,Matches
680,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,1,54,54,20.0,0.6,0,,0,1,54,0,0.00,1,2,-1,-1.67,-1.25,1.0,1.5,-0.5,-0.79,+0.27,Matches
681,Luke Shaw,DF,eng England,26,1995,5,424,85,94.2,4.7,5,85,4,0,,0,2.00,12,4,+8,+1.70,-1.76,7.5,3.8,+3.6,+0.77,-2.61,Matches
682,Saad Al Sheeb,GK,qa Qatar,32,1990,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23,Matches
683,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,2,5,-3,-1.21,-3.13,2.1,4.8,-2.7,-1.09,-0.46,Matches
684,Gaku Shibasaki,MF,jp Japan,30,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
685,André Silva,FW,pt Portugal,26,1995,1,26,26,5.8,0.3,0,,0,1,26,4,0.00,0,1,-1,-3.46,-4.95,0.1,0.9,-0.8,-2.79,-3.23,Matches
686,António Silva,DF,pt Portugal,18,2003,1,90,90,20.0,1.0,1,90,1,0,,4,0.00,1,2,-1,-1.00,-2.75,1.3,1.7,-0.4,-0.42,-0.84,Matches
687,Bernardo Silva,MF,pt Portugal,27,1994,5,356,71,79.1,4.0,4,87,2,1,9,0,1.80,10,4,+6,+1.52,+1.52,6.4,5.0,+1.4,+0.36,+0.54,Matches
688,Thiago Silva,DF,br Brazil,37,1984,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49,Matches
689,Unai Simón,GK,es Spain,25,1997,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68,Matches
690,Xavi Simons,"FW,MF",nl Netherlands,19,2003,1,9,9,1.9,0.1,0,,0,1,9,4,3.00,0,0,0,0.00,-1.15,0.0,0.2,-0.2,-2.00,-1.75,Matches
691,Ellyes Skhiri,MF,tn Tunisia,27,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,,Matches
692,Michał Skóraś,MF,pl Poland,22,2000,1,45,45,12.5,0.5,0,,0,1,45,3,0.00,0,2,-2,-4.00,-4.00,0.1,1.7,-1.6,-3.22,-2.89,Matches
693,Łukasz Skorupski,GK,pl Poland,31,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
694,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,2,132,66,48.9,1.5,2,66,0,0,,1,0.50,0,1,-1,-0.68,-0.03,0.8,1.4,-0.7,-0.45,-0.11,Matches
695,Robert Skov,DF,dk Denmark,26,1996,1,22,22,8.1,0.2,0,,0,1,22,2,0.00,0,0,0,0.00,+0.73,0.2,0.0,+0.2,+0.67,+1.16,Matches
696,Naïm Sliti,"MF,FW",tn Tunisia,29,1992,2,114,57,42.2,1.3,1,90,1,1,24,1,0.50,0,1,-1,-0.79,-1.37,0.9,1.7,-0.7,-0.59,-0.73,Matches
697,Matthew Smith,MF,wls Wales,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
698,Carlos Soler,MF,es Spain,25,1997,2,92,46,23.6,1.0,0,,0,2,46,2,2.00,3,0,+3,+2.93,+2.03,1.6,0.5,+1.1,+1.61,+1.16,Matches
699,Yuki Soma,"FW,MF",jp Japan,25,1997,1,81,81,20.8,0.9,1,81,0,0,,3,0.00,0,1,-1,-1.11,-1.69,0.7,0.1,+0.6,+0.63,+0.98,Matches
700,Yann Sommer,GK,ch Switzerland,33,1988,3,270,90,75.0,3.0,3,90,3,0,,0,1.00,2,7,-5,-1.67,-2.67,3.0,4.0,-1.1,-0.35,-1.73,Matches
701,Borna Sosa,DF,hr Croatia,24,1998,5,424,85,61.4,4.7,5,85,3,0,,1,1.20,4,4,0,0.00,-0.34,4.5,7.7,-3.2,-0.69,-0.42,Matches
702,Sebastián Sosa,GK,uy Uruguay,35,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
703,Marou Souaibou,FW,cm Cameroon,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
704,Harry Souttar,DF,au Australia,23,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,,Matches
705,Djibril Sow,MF,ch Switzerland,25,1997,4,264,66,73.3,2.9,4,66,0,0,,0,1.50,4,5,-1,-0.34,+2.47,4.3,4.1,+0.1,+0.04,-0.14,Matches
706,Kamal Sowah,"FW,MF",gh Ghana,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
707,Dayne St. Clair,GK,ca Canada,25,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
708,Josip Stanišić,DF,hr Croatia,22,2000,1,90,90,13.0,1.0,1,90,1,0,,5,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01,Matches
709,Renato Steffen,FW,ch Switzerland,30,1991,1,32,32,8.9,0.4,0,,0,1,32,2,0.00,0,1,-1,-2.81,-1.99,0.1,0.5,-0.4,-1.03,-1.22,Matches
710,Raheem Sterling,FW,eng England,27,1994,3,149,50,33.1,1.7,2,69,0,1,12,1,1.33,4,1,+3,+1.81,+0.02,2.4,1.0,+1.5,+0.88,-0.06,Matches
711,John Stones,DF,eng England,28,1994,5,434,87,96.4,4.8,5,87,3,0,,0,2.00,13,4,+9,+1.87,+1.87,8.4,3.8,+4.6,+0.95,+0.70,Matches
712,Jens Stryger Larsen,"DF,MF",dk Denmark,31,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
713,Luis Suárez,FW,uy Uruguay,35,1987,3,146,49,54.1,1.6,2,64,0,1,18,0,1.33,2,1,+1,+0.62,+1.34,2.4,2.5,-0.1,-0.04,-0.19,Matches
714,Luka Sučić,MF,hr Croatia,19,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
715,Niklas Süle,DF,de Germany,26,1995,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,6,5,+1,+0.33,+0.33,9.5,3.4,+6.1,+2.05,-44.55,Matches
716,Kamaldeen Sulemana,FW,gh Ghana,20,2002,2,58,29,21.5,0.6,0,,0,2,29,1,1.50,0,0,0,0.00,+0.85,0.7,0.8,-0.1,-0.10,+0.48,Matches
717,Josip Šutalo,DF,hr Croatia,22,2000,1,90,90,13.0,1.0,1,90,1,0,,6,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01,Matches
718,Karol Świderski,FW,pl Poland,25,1997,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,+0.57,0.2,1.8,-1.6,-3.10,-2.76,Matches
719,Wojciech Szczęsny,GK,pl Poland,32,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,3,5,-2,-0.50,,4.5,7.3,-2.7,-0.69,,Matches
720,Damian Szymański,MF,pl Poland,26,1995,1,29,29,8.1,0.3,0,,0,1,29,3,0.00,0,1,-1,-3.10,-2.83,0.0,1.1,-1.1,-3.40,-2.95,Matches
721,Sebastian Szymański,MF,pl Poland,23,1999,2,134,67,37.2,1.5,2,67,0,0,,2,0.50,0,1,-1,-0.67,-0.27,1.6,1.7,-0.2,-0.12,+0.90,Matches
722,Dušan Tadić,"MF,FW",rs Serbia,33,1988,3,257,86,95.2,2.9,3,86,2,0,,0,0.33,5,8,-3,-1.05,-1.05,3.3,7.0,-3.8,-1.32,-0.16,Matches
723,Kim Tae-hwan,"DF,MF",kr Korea Republic,32,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
724,Nicolás Tagliafico,DF,ar Argentina,29,1992,6,373,62,54.1,4.1,3,93,1,3,31,1,1.83,8,8,0,0.00,-1.99,9.7,3.5,+6.2,+1.62,+0.53,Matches
725,Alfredo Talavera,GK,mx Mexico,39,1982,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
726,Montassar Talbi,DF,tn Tunisia,24,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,,Matches
727,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,3,3,0,0.00,+2.00,1.3,4.5,-3.2,-1.60,-1.76,Matches
728,Ao Tanaka,MF,jp Japan,23,1998,3,171,57,43.8,1.9,2,78,0,1,15,1,2.33,2,2,0,0.00,-0.41,1.8,3.6,-1.8,-1.01,-1.43,Matches
729,Shogo Taniguchi,DF,jp Japan,30,1991,2,210,105,53.8,2.3,2,105,2,0,,2,2.00,3,2,+1,+0.43,+0.43,2.7,2.5,+0.2,+0.09,+0.45,Matches
730,Mehdi Taremi,FW,ir IR Iran,29,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,,Matches
731,Kenneth Taylor,MF,nl Netherlands,20,2002,1,5,5,1.0,0.1,0,,0,1,5,4,3.00,0,0,0,0.00,-1.14,0.0,0.0,0.0,+0.09,+0.36,Matches
732,Aurélien Tchouaméni,MF,fr France,22,2000,7,621,89,94.1,6.9,7,89,5,0,,0,2.29,14,7,+7,+1.01,-1.29,13.2,8.9,+4.2,+0.65,+1.16,Matches
733,Yeltsin Tejeda,MF,cr Costa Rica,30,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,9.6,-8.2,-2.74,+43.87,Matches
734,Alex Telles,DF,br Brazil,29,1992,2,59,30,12.3,0.7,1,54,0,1,5,1,1.50,0,0,0,0.00,-1.07,1.4,0.2,+1.2,+1.79,-0.08,Matches
735,Marc-André ter Stegen,GK,de Germany,30,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
736,Arthur Theate,DF,be Belgium,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
737,Sorba Thomas,MF,wls Wales,22,1999,1,1,1,0.4,0.0,0,,0,1,1,2,1.00,0,0,0,0.00,+1.67,0.0,0.0,0.0,0.00,+0.63,Matches
738,Marcus Thuram,"FW,MF",fr France,24,1997,5,151,30,22.9,1.7,0,,0,5,30,2,2.60,6,3,+3,+1.79,+0.90,4.7,4.0,+0.7,+0.54,+0.01,Matches
739,Youri Tielemans,MF,be Belgium,25,1997,3,95,32,35.2,1.1,1,45,0,2,25,0,1.33,1,2,-1,-0.95,-0.95,1.6,3.2,-1.6,-1.48,-2.37,Matches
740,Marco Tilio,MF,au Australia,20,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
741,Jurriën Timber,DF,nl Netherlands,20,2001,4,390,98,81.3,4.3,4,98,4,0,,1,2.00,8,4,+4,+0.92,-1.08,3.9,5.2,-1.2,-0.31,-0.15,Matches
742,Karl Toko Ekambi,"FW,MF",cm Cameroon,29,1992,3,166,55,61.5,1.8,2,70,0,1,27,0,1.33,4,4,0,0.00,0.00,3.1,3.9,-0.8,-0.42,+0.95,Matches
743,Nouhou Tolo,DF,cm Cameroon,24,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,,Matches
744,Takehiro Tomiyasu,"DF,MF",jp Japan,23,1998,3,187,62,47.9,2.1,1,120,1,2,34,1,2.33,3,1,+2,+0.96,+1.41,2.9,3.2,-0.3,-0.17,-0.02,Matches
745,Mehdi Torabi,MF,ir IR Iran,27,1994,3,62,21,23.0,0.7,0,,0,3,21,0,1.00,4,2,+2,+2.90,+5.07,1.9,1.5,+0.5,+0.68,+1.29,Matches
746,Lucas Torreira,MF,uy Uruguay,26,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
747,Félix Torres Caicedo,DF,ec Ecuador,25,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,,Matches
748,Facundo Torres,"FW,MF",uy Uruguay,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
749,Ferrán Torres,FW,es Spain,22,2000,4,217,54,55.6,2.4,3,61,0,1,34,0,1.25,4,0,+4,+1.66,+0.62,3.4,0.6,+2.7,+1.13,+1.12,Matches
750,Gerson Torres,MF,cr Costa Rica,24,1997,1,64,64,23.7,0.7,1,64,0,0,,2,3.00,0,0,0,0.00,+3.50,0.0,0.5,-0.4,-0.61,+2.99,Matches
751,Pau Torres,DF,es Spain,25,1997,1,90,90,23.1,1.0,1,90,1,0,,3,0.00,1,2,-1,-1.00,-3.10,1.0,1.4,-0.4,-0.42,-1.36,Matches
752,Kevin Trapp,GK,de Germany,31,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
753,Kieran Trippier,DF,eng England,31,1990,3,206,69,45.8,2.3,2,90,2,1,26,2,2.33,7,2,+5,+2.18,+0.71,4.1,2.2,+1.9,+0.82,-0.20,Matches
754,Leandro Trossard,"FW,MF",be Belgium,27,1994,3,103,34,38.1,1.1,1,58,0,2,23,0,1.33,0,1,-1,-0.87,-0.87,1.4,1.4,0.0,-0.01,-0.10,Matches
755,Matt Turner,GK,us United States,27,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,,Matches
756,Ayase Ueda,FW,jp Japan,23,1998,1,45,45,11.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,-0.03,+0.15,Matches
757,Manuel Ugarte Ribeiro,MF,uy Uruguay,21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
758,Ike Ugbo,FW,ca Canada,23,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
759,Hwang Ui-jo,"FW,MF",kr Korea Republic,29,1992,4,106,27,29.4,1.2,1,73,0,3,11,0,1.00,1,0,+1,+0.85,+2.27,1.7,0.7,+0.9,+0.78,+2.00,Matches
760,Dayot Upamecano,DF,fr France,23,1998,5,480,96,72.7,5.3,5,96,5,0,,2,2.60,14,7,+7,+1.31,+0.81,10.9,8.5,+2.4,+0.49,-0.12,Matches
